Black Panther,"['Action', 'Adventure', 'Sci-Fi']"
Avengers: Infinity War,"['Action', 'Adventure', 'Fantasy']"
Deadpool 2,"['Action', 'Adventure', 'Comedy']"
A Quiet Place,"['Drama', 'Horror', 'Sci-Fi']"
Solo: A Star Wars Story,"['Action', 'Adventure', 'Fantasy']"
Ready Player One,"['Action', 'Adventure', 'Sci-Fi']"
Peter Rabbit,"['Animation', 'Adventure', 'Comedy']"
Fifty Shades Freed,"['Drama', 'Romance', 'Thriller']"
A Wrinkle in Time,"['Adventure', 'Family', 'Fantasy']"
Rampage,"['Action', 'Adventure', 'Sci-Fi']"
I Can Only Imagine,"['Drama', 'Family', 'Music']"
Game Night,"['Comedy', 'Crime', 'Mystery']"
Insidious: The Last Key,"['Horror', 'Mystery', 'Thriller']"
Blockers,['Comedy']
Pacific Rim: Uprising,"['Action', 'Adventure', 'Sci-Fi']"
Maze Runner: The Death Cure,"['Action', 'Sci-Fi', 'Thriller']"
Tomb Raider,"['Action', 'Adventure']"
Book Club,['Comedy']
I Feel Pretty,['Comedy']
Life of the Party,['Comedy']
Red Sparrow,"['Drama', 'Mystery', 'Thriller']"
Overboard,"['Comedy', 'Romance']"
12 Strong,"['Action', 'Drama', 'History']"
Den of Thieves,"['Action', 'Crime', 'Drama']"
Acrimony,['Thriller']
Sherlock Gnomes,"['Animation', 'Adventure', 'Comedy']"
Breaking In,"['Action', 'Crime', 'Drama']"
"Love, Simon","['Comedy', 'Drama', 'Romance']"
Truth or Dare,"['Horror', 'Thriller']"
The Commuter,"['Action', 'Crime', 'Drama']"
The 15:17 to Paris,"['Biography', 'Drama']"
Death Wish,"['Action', 'Crime', 'Drama']"
Annihilation,"['Adventure', 'Drama', 'Horror']"
Isle of Dogs,"['Animation', 'Adventure', 'Comedy']"
Super Troopers 2,"['Comedy', 'Crime', 'Mystery']"
Winchester,"['Biography', 'Fantasy', 'Horror']"
The Strangers: Prey at Night,['Horror']
Proud Mary,"['Action', 'Crime', 'Thriller']"
"Paul, Apostle of Christ","['Drama', 'History']"
Adrift,"['Action', 'Adventure', 'Drama']"
Forever My Girl,"['Drama', 'Music', 'Romance']"
Show Dogs,"['Adventure', 'Comedy', 'Family']"
Padmaavat,"['Drama', 'History', 'Romance']"
The Miracle Season,"['Drama', 'Sport']"
Midnight Sun,"['Drama', 'Romance']"
Tully,"['Comedy', 'Drama']"
Traffik,['Thriller']
RBG,"['Documentary', 'Biography']"
Early Man,"['Animation', 'Adventure', 'Comedy']"
Unsane,"['Horror', 'Thriller']"
